Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C15, C16, C18, C2, C21, C25, C26, C29, C34, C35, C36, C37, C38, C39, C4, C40, C5, C6, C7, C70, C71, C76, C85, C95, C96, C97, C98, C99",0402,30,100nf/16v,C1525
"C10, C11, C17, C30, C43, C45, C47, C48, C51, C61, C66, C8, C81, C82",0402,14,1uf/6.3v,C15684
"C100, C101, C42, C52, C59",0402,5,10pf/50v,C32949
"C102, C103, C53, C62",0402,4,1.2pf/50v,C1551
"C104, C55",0402,2,9pf/50v,C1580
"C105, C106, C57, C58",0402,4,1.8Pf/50v,C1553
"C12, C13",0402,2,1.5nf/50V,C23967
"C19, C20, C22, C3, C32, C33, C77",0603,7,4.7uf/6.3v,C8032
"C23, C24",0402,2,5pf/50v NC,C1573
"C27, C31, C9",0603,3,2.2uF/6.3V,C71000
"C28, C41, C75",0603,3,10uf/6.3v,C1691
"C44, C46, C50, C60, C64, C65, C67, C69, C83",0402,9,100pf/50v,C1546
C49,0603,1,10uf/6.3v NC,C1691
"C54, C56, C79, C80",0402,4,2pf/50v,C1523
C63,0402,1,1.3pf/50v,C88880
"C72, C73",0402,2,15pf/50v,C1548
"C74, C89, C90, C91, C92, C93",0603,6,22uf/25v,C84419
C78,CAP-TH_BD8.0-P3.50-D0.6-FD,1,470uf/25v,C5154
C84,0603,1,10uf/25v,C13585
"C86, C87, C94",0402,3,NC,
C88,0402,1,1uf/25v,C52923
"D1, D2",0603,2,LED0,C9900005774
D3,0603,1,LED,C2286
D4,LL-34_L3.5-W1.5-RD,1,ZMM5V1,C707194
J1,DC-IN-TH_DC-005C-20A,1,Barrel_Jack_Switch,C84007
J2,HDR-TH_HL-DP9HB180F,1,DE9_Pins,C9900001049
J3,HDR-TH_24P-P2.54-V-M-R2-C12-S2.54,1,Conn_01x24_MountingPin,C358700
J4,RJ45-TH_DS1128-09-S8B8X,1,RJ45_LED_Shielded_x2,C86578
L1,IND-SMD_L2.5-W2.0_VLS2520X,1,2.2 uH/VLS252012ET-2R2M,C107346
"L10, L12, L2, L3",0402,4,10nh,C21585
L11,IND-SMD_L4.5-W4.0_GCD43-XX,1,6.8uh,C10131
"L13, L14, L18, L5, L7, L8",0402,6,2nh,C18216
"L15, L16, L4, L9",0402,4,2.7nh,C76770
"L17, L6",0402,2,1.2nh,C77105
"R1, R12, R13, R2, R23, R26, R29, R3, R38, R6, R7",0402,11,4.7k,C25900
R10,0402,1,100/1%,C25076
"R11, R35",0402,2,22,C25092
R14,0402,1,24.3K,C102920
R17,0402,1,5.1K/1%,C25905
"R18, R19, R20, R21, R50, R52, R55, R57",0402,8,0,C17168
"R22, R24, R32",0402,3,10K/1%,C25744
"R25, R27, R28, R30, R31, R4, R5",0402,7,4.7k,NC
"R33, R40, R41, R42, R43, R44, R47, R8",0402,8,1k/1%,C11702
R34,0402,1,20K/1%,C25545
"R36, R37",0402,2,330,C25104
R39,0402,1,510/0402,C25123
R46,0402,1,100K/0402,C25741
R48,0603,1,6.2K/0603,C4260
R49,0402,1,2K/0402,C4109
R9,0402,1,100nf/1%,C11702
"RF1, RF2",IPEX-SMD_4P-L2.6-W2.6_C9900016457,2,ANT_SHAFT_SEAT,C9900016457
SW_GPIO1,SW-SMD_L3.9-W2.9-LS4.8-EH-A,1,GPIO,C9900006416
SW_GPIO3,SW-SMD_L3.9-W2.9-LS4.8-EH-A,1,PORST,C9900006416
SW_REF_CLK1,SW-SMD_L3.9-W2.9-LS4.8-EH-A,1,REF_CLK,C9900006416
SW_WDT_RST1,SW-SMD_L3.9-W2.9-LS4.8-EH-A,1,WDT_RST,C9900006416
U1,WBGA-84_L12.5-W8.0-P0.80-TL_W9751G6KB,1,W971GG6SB25I,C191947
U10,RJ45-TH_B-1-4,1,~,C138390
U11,DIP-12_L12.8-W7.3-P2.00-LS5.0-BL,1,TF-1016DG-LAN3,C408871
U12,DIP-12_L12.8-W7.3-P2.00-LS5.0-BL,1,TF-1016DG-LAN2,C408871
U13,DIP-12_L12.8-W7.3-P2.00-LS5.0-BL,1,TF-1016DG-LAN1,C408871
U14,DIP-12_L12.8-W7.3-P2.00-LS5.0-BL,1,TF-1016DG-WAN,C408871
U2,MT7628_footprint,1,MT7628NN,C2762437
U3,WSON-8_L8.0-W6.10-P1.27-BL-EP,1,W25Q256JVEIQ,C97522
U4,SOT-223_L6.5-W3.5-P2.30-LS7.0-BR,1,ams1117-5v, C6187
U6,DIP-12_L12.8-W7.3-P2.00-LS5.0-BL,1,TF-1016DG-LAN4,C408871
U7,TSOT-23-6,1,MP1470,C558426
U8,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,SP3232,C9378
U9,USB-A-TH_USB-226-BRW,1,USB_VERTICLE, C720524
Y1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,Crystal_40Mhz,C90924
